Researcher,Name,Birth Place,Birth Date,Notable Works
http://dbpedia.org/resource/Camille_Guérin,Camille Guérin,http://dbpedia.org/resource/France,1872-12-22,
http://dbpedia.org/resource/Camille_Guérin,Camille Guérin,http://dbpedia.org/resource/Poitiers,1872-12-22,
http://dbpedia.org/resource/Camille_Jordan,Camille Jordan,http://dbpedia.org/resource/Lyon,1838-01-05,
http://dbpedia.org/resource/Camille_Matignon,Camille Matignon,http://dbpedia.org/resource/Saint-Maurice-aux-Riches-Hommes,1867-01-03,
http://dbpedia.org/resource/Campbell_Cowan_Edgar,Campbell Cowan Edgar,http://dbpedia.org/resource/Scotland,1870-12-26,
http://dbpedia.org/resource/Campbell_Cowan_Edgar,Campbell Cowan Edgar,http://dbpedia.org/resource/Tongland,1870-12-26,
http://dbpedia.org/resource/Campbell_Cowan_Edgar,Campbell Cowan Edgar,http://dbpedia.org/resource/Kirkcudbrightshire,1870-12-26,
http://dbpedia.org/resource/Canan_Dağdeviren,Canan Dağdeviren,"http://dbpedia.org/resource/Istanbul,_Turkey",1985-05-04,
http://dbpedia.org/resource/Candace_Pert,Candace Beebe Pert,"http://dbpedia.org/resource/Manhattan,_New_York_City",1946-06-26,
http://dbpedia.org/resource/Cao_Chunan,Cao Chunan,http://dbpedia.org/resource/Changshu,1930-08-15,
http://dbpedia.org/resource/Cao_Chunan,Cao Chunan,http://dbpedia.org/resource/Jiangsu,1930-08-15,
http://dbpedia.org/resource/Cao_Tianqin,Cao Tianqin,http://dbpedia.org/resource/Beijing,1920-12-05,
http://dbpedia.org/resource/Cao_Yaofeng,Cao Yaofeng,http://dbpedia.org/resource/Weinan,1953-12-12,
http://dbpedia.org/resource/Cao_Yaofeng,Cao Yaofeng,http://dbpedia.org/resource/Shaanxi,1953-12-12,
http://dbpedia.org/resource/Cardinal_Warde,Cardinal Warde,"http://dbpedia.org/resource/Christ_Church,_Barbados",1945-07-14,
http://dbpedia.org/resource/Carew_Arthur_Meredith,C. A. Meredith,http://dbpedia.org/resource/Dublin,1904-06-28,
http://dbpedia.org/resource/Carey_Coombs,Carey Franklin Coombs,http://dbpedia.org/resource/Castle_Cary,1879-09-05,
http://dbpedia.org/resource/Carey_Coombs,Carey Franklin Coombs,http://dbpedia.org/resource/England,1879-09-05,
http://dbpedia.org/resource/Carey_Coombs,Carey Franklin Coombs,http://dbpedia.org/resource/Frome,1879-09-05,
http://dbpedia.org/resource/Carey_Coombs,Carey Franklin Coombs,http://dbpedia.org/resource/Somerset,1879-09-05,
http://dbpedia.org/resource/Cargill_Gilston_Knott,Cargill Gilston Knott,http://dbpedia.org/resource/Penicuik,1856-06-30,
http://dbpedia.org/resource/Carin_Bondar,Carin Bondar,http://dbpedia.org/resource/British_Columbia,1975-05-20,
http://dbpedia.org/resource/Carin_Bondar,Carin Bondar,http://dbpedia.org/resource/New_Westminster,1975-05-20,
http://dbpedia.org/resource/Carl-Erik_Quensel,Carl-Erik Quensel,http://dbpedia.org/resource/Malmö,1907-10-09,
http://dbpedia.org/resource/Carl-Erik_Quensel,Carl-Erik Quensel,http://dbpedia.org/resource/Sweden,1907-10-09,
http://dbpedia.org/resource/Carl-Gustaf_Rossby,Carl-Gustaf Rossby,http://dbpedia.org/resource/Stockholm,1898-12-28,
http://dbpedia.org/resource/Carl-Gustaf_Rossby,Carl-Gustaf Rossby,http://dbpedia.org/resource/Sweden,1898-12-28,
http://dbpedia.org/resource/Carl_A._Rouse,Carl A. Rouse,"http://dbpedia.org/resource/Hazelton_(Youngstown,_Ohio)",1926-07-14,
http://dbpedia.org/resource/Carl_A._Schenck,Carl A. Schenck,http://dbpedia.org/resource/Germany,1868-03-25,
http://dbpedia.org/resource/Carl_A._Schenck,Carl A. Schenck,http://dbpedia.org/resource/Darmstadt,1868-03-25,
http://dbpedia.org/resource/Carl_Adam_Petri,Carl Adam Petri,http://dbpedia.org/resource/Leipzig,1926-07-12,
http://dbpedia.org/resource/Carl_Adam_Petri,Carl Adam Petri,http://dbpedia.org/resource/Weimar_Republic,1926-07-12,
http://dbpedia.org/resource/Carl_Anton_Bjerknes,Carl Anton Bjerknes,http://dbpedia.org/resource/Norway,1825-10-24,
http://dbpedia.org/resource/Carl_Anton_Bjerknes,Carl Anton Bjerknes,http://dbpedia.org/resource/Oslo,1825-10-24,
http://dbpedia.org/resource/Carl_Auer_von_Welsbach,Carl Auer von Welsbach,http://dbpedia.org/resource/Vienna,1858-09-01,
http://dbpedia.org/resource/Carl_Auer_von_Welsbach,Carl Auer von Welsbach,http://dbpedia.org/resource/Austrian_Empire,1858-09-01,
http://dbpedia.org/resource/Carl_August_von_Steinheil,Carl August von Steinheil,http://dbpedia.org/resource/Ribeauvillé,1801-10-12,
http://dbpedia.org/resource/Carl_August_von_Steinheil,Carl August von Steinheil,http://dbpedia.org/resource/Alsace,1801-10-12,
http://dbpedia.org/resource/Carl_Barus,Carl Barus,http://dbpedia.org/resource/United_States,1856-02-19,
http://dbpedia.org/resource/Carl_Barus,Carl Barus,http://dbpedia.org/resource/Cincinnati,1856-02-19,
http://dbpedia.org/resource/Carl_Bergmann_(anatomist),Carl Bergmann,http://dbpedia.org/resource/Göttingen,1814-05-18,
http://dbpedia.org/resource/Carl_Bolle_(naturalist),Carl Bolle,http://dbpedia.org/resource/Berlin,1821-11-21,
http://dbpedia.org/resource/Carl_Bolle_(naturalist),Carl Bolle,http://dbpedia.org/resource/Germany,1821-11-21,
http://dbpedia.org/resource/Carl_Borivoj_Presl,Carl Borivoj Presl,http://dbpedia.org/resource/Prague,1794-02-17,
http://dbpedia.org/resource/Carl_Borivoj_Presl,Carl Borivoj Presl,http://dbpedia.org/resource/Habsburg_monarchy,1794-02-17,
http://dbpedia.org/resource/Carl_Borivoj_Presl,Carl Borivoj Presl,http://dbpedia.org/resource/Kingdom_of_Bohemia,1794-02-17,
http://dbpedia.org/resource/Carl_Bosch,Carl Bosch,http://dbpedia.org/resource/Cologne,1874-08-27,
http://dbpedia.org/resource/Carl_Bosch,Carl Bosch,http://dbpedia.org/resource/German_Empire,1874-08-27,
http://dbpedia.org/resource/Carl_Braun_(obstetrician),Carl Braun (obstetrician),http://dbpedia.org/resource/Zistersdorf,1822-03-22,
http://dbpedia.org/resource/Carl_Braun_(obstetrician),Carl Braun (obstetrician),http://dbpedia.org/resource/Austria,1822-03-22,
http://dbpedia.org/resource/Carl_Braun_(obstetrician),Carl Braun (obstetrician),http://dbpedia.org/resource/Niederösterreich,1822-03-22,
http://dbpedia.org/resource/Carl_Chang_(computer_scientist),Carl K.Chang,http://dbpedia.org/resource/Taichung,1952-03-05,
http://dbpedia.org/resource/Carl_Chang_(computer_scientist),Carl K.Chang,http://dbpedia.org/resource/Taiwan,1952-03-05,
http://dbpedia.org/resource/Carl_Christ,Carl F. Christ,http://dbpedia.org/resource/Chicago,1923-09-19,
http://dbpedia.org/resource/Carl_Christ,Carl F. Christ,http://dbpedia.org/resource/Illinois,1923-09-19,
http://dbpedia.org/resource/Carl_Culmann,Carl Culmann,http://dbpedia.org/resource/German_Confederation,1821-07-10,
http://dbpedia.org/resource/Carl_Culmann,Carl Culmann,http://dbpedia.org/resource/Bad_Bergzabern,1821-07-10,
http://dbpedia.org/resource/Carl_David_Anderson,Carl David Anderson,"http://dbpedia.org/resource/New_York_City,_New_York",1905-09-03,
http://dbpedia.org/resource/Carl_Djerassi,Carl Djerassi,http://dbpedia.org/resource/Vienna,1923-10-29,
http://dbpedia.org/resource/Carl_Djerassi,Carl Djerassi,http://dbpedia.org/resource/First_Republic_of_Austria,1923-10-29,
http://dbpedia.org/resource/Carl_Duisberg,Carl Duisberg,http://dbpedia.org/resource/Rhine_Province,1861-09-29,
http://dbpedia.org/resource/Carl_Duisberg,Carl Duisberg,http://dbpedia.org/resource/Barmen,1861-09-29,
http://dbpedia.org/resource/Carl_Duisberg,Carl Duisberg,http://dbpedia.org/resource/Kingdom_of_Prussia,1861-09-29,
http://dbpedia.org/resource/Carl_E._Taylor,Carl E Taylor,http://dbpedia.org/resource/Landour,1916-07-26,
http://dbpedia.org/resource/Carl_E._Taylor,Carl E Taylor,http://dbpedia.org/resource/India,1916-07-26,
http://dbpedia.org/resource/Carl_E._Thoresen,Carl E. Thoresen,http://dbpedia.org/resource/California,1933-07-22,
http://dbpedia.org/resource/Carl_E._Thoresen,Carl E. Thoresen,http://dbpedia.org/resource/San_Francisco,1933-07-22,
http://dbpedia.org/resource/Carl_Edvard_Marius_Levy,Carl Edvard Marius Levy,http://dbpedia.org/resource/Denmark,1808-09-10,
http://dbpedia.org/resource/Carl_Edvard_Marius_Levy,Carl Edvard Marius Levy,http://dbpedia.org/resource/Copenhagen,1808-09-10,
http://dbpedia.org/resource/Carl_Emil_Schorske,Carl Emil Schorske,"http://dbpedia.org/resource/New_York_City,_New_York",1915-03-15,
http://dbpedia.org/resource/Carl_Erengisle_Hyltén-Cavallius,Carl Erengisle Hyltén-Cavallius,http://dbpedia.org/resource/Vislanda,1817-02-19,
http://dbpedia.org/resource/Carl_F._Kraenzel,Carl Frederick Kraenzel,"http://dbpedia.org/resource/Hebron,_North_Dakota",1906-11-01,
